Block,Density,Rep,LifeSpan,Sex,Width,Length,Status,,
D,High,2,68,F,4.8,3.75,1,,
D,High,2,29,F,4.69,3.68,1,,
D,High,2,54,F,5.03,4.03,1,,
D,High,2,82,F,4.43,3.51,1,,
D,High,2,61,F,3.55,2.78,1,,
D,High,2,68,F,4.34,3.49,1,,
D,High,2,78,F,4.34,3.4,1,,
D,High,2,66,F,4.93,3.89,1,,
D,High,2,64,F,4.13,3.75,1,,
D,High,2,61,F,4.9,3.87,1,,
D,High,2,33,F,4.71,3.75,1,,
D,High,2,437,F,3.86,3,1,,
D,Med,1,444,M,5.67,4.21,1,,
D,Med,1,64,M,5.08,3.98,1,,
D,Med,1,68,M,5.15,4.07,1,,
D,Med,1,57,M,5.12,4,1,,
D,Med,1,59,F,5.09,4.06,1,,
D,Med,1,57,F,5.3,4.19,1,,
D,Med,1,68,F,5.03,3.92,1,,
D,Med,1,29,F,5.4,4.28,1,,
D,Med,1,47,F,,,0,,
D,Med,1,66,F,5.19,4.11,1,,
D,Med,1,66,F,4.94,3.89,1,,
D,Med,1,59,F,5.1,3.89,1,,
D,Med,1,444,F,4.77,3.82,1,,
D,Med,1,61,F,5.47,4.17,1,,
D,Med,1,61,F,5.15,4.12,1,,
D,Med,1,15,F,4.96,3.89,1,,
D,Med,1,64,F,3.66,2.91,1,,
D,Med,2,50,M,5.14,4.01,1,,
D,Med,2,57,M,5.19,4.02,1,,
D,Med,2,57,M,5.6,4.19,1,,
D,Med,2,54,M,5.11,4.02,1,,
D,Med,2,50,M,4.72,3.63,1,,
D,Med,2,68,M,5.13,3.95,1,,
D,Med,2,68,M,5.04,3.97,1,,
D,Med,2,68,F,5.31,4.29,1,,
D,Med,2,61,F,5.56,4.29,1,,
D,Med,2,66,F,5.24,4.13,1,,
D,Med,2,68,F,4.92,3.84,1,,
D,Med,2,64,F,4.93,3.87,1,,
D,Med,2,43,F,4.41,3.48,1,,
D,Med,2,61,F,5.28,4.14,1,,
D,Med,2,83,F,5.25,4.18,1,,
D,Med,3,68,M,4.7,3.74,1,,
D,Med,3,68,M,5.18,4.09,1,,
D,Med,3,54,M,5.53,4.23,1,,
D,Med,3,85,M,5.26,4.11,1,,
D,Med,3,75,M,5.38,4.16,1,,
D,Med,3,50,M,5.22,3.97,1,,
D,Med,3,78,M,5.42,4.35,1,,
D,Med,3,52,M,4.85,3.85,1,,
D,Med,3,71,F,4.83,3.74,1,,
D,Med,3,71,F,5.2,4.1,1,,
D,Med,3,66,F,5.04,4.04,1,,
D,Med,3,57,F,5.05,3.97,1,,
D,Med,3,57,F,5.3,4.23,1,,
D,Med,3,57,F,4.88,3.83,1,,
D,Med,4,66,M,5.19,4.08,1,,
D,Med,4,59,M,5.16,4.02,1,,
D,Med,4,52,M,5.25,4.09,1,,
D,Med,4,71,M,5.36,4.1,1,,
D,Med,4,57,M,5.11,4.02,1,,
D,Med,4,36,M,5.46,4.25,1,,
D,Med,4,61,M,5.03,3.88,1,,
D,Med,4,68,F,5.22,4.14,1,,
D,Med,4,61,F,5.28,4.15,1,,
D,Med,4,75,F,5.18,4.15,1,,
D,Med,4,54,F,5.12,4.01,1,,
D,Med,4,40,F,5.18,4.11,1,,
D,Med,4,71,F,5.09,4,1,,
D,Med,4,68,F,4.94,3.96,1,,
D,Med,4,75,F,4.95,3.91,1,,
D,Med,4,75,F,5.23,4.02,1,,
D,Med,4,92,F,5.08,4.02,1,,
D,Med,4,82,F,5.16,5.05,1,,
D,Med,5,43,M,5.3,4.17,1,,
D,Med,5,54,M,5.31,4.13,1,,
D,Med,5,64,M,5.65,4.29,1,,
D,Med,5,75,M,5.25,4.03,1,,
D,Med,5,59,M,5.6,4.19,1,,
D,Med,5,71,M,5.38,4.27,1,,
D,Med,5,47,M,5.53,4.28,1,,
D,Med,5,57,M,5.22,4.11,1,,
D,Med,5,78,M,5.15,3.88,1,,
D,Med,5,52,M,5.07,3.88,1,,
D,Med,5,57,M,5.22,4.02,1,,
D,Med,5,47,F,5.43,4.31,1,,
D,Med,5,73,F,5.28,4.14,1,,
D,Med,5,71,F,5.15,3.99,1,,
D,Med,5,66,F,5.33,4.13,1,,
D,Low,1,64,M,4.87,3.79,1,,
D,Low,3,75,M,5.36,4.16,1,,
D,Low,3,50,M,5.39,4.24,1,,
D,Low,3,87,M,4.95,3.8,1,,
D,Low,3,26,F,5.37,4.21,1,,
D,Low,3,50,F,5.19,4.07,1,,
D,Low,4,52,M,5.01,3.93,1,,
D,Low,4,68,M,4.97,4,1,,
D,Low,4,66,F,5.24,4.12,1,,
D,Low,4,54,F,5.23,4.23,1,,
D,Low,4,54,F,5.41,4.24,1,,
D,Low,5,64,M,4.87,3.79,1,,
D,Low,5,64,M,5.02,3.95,1,,
D,Low,5,75,F,5.02,3.89,1,,
D,Low,6,45,M,5.28,4.11,1,,
D,Low,6,68,F,5.2,4.01,1,,
D,Low,6,54,F,5.15,4.14,1,,
D,Low,6,64,F,4.29,3.34,1,,
D,Low,7,66,M,5.24,4.12,1,,
D,Low,7,57,M,5,3.85,1,,
D,Low,7,54,F,5.15,4.01,1,,
D,Low,7,54,F,5.44,4.28,1,,
D,Low,7,47,F,5.28,4.02,1,,
D,Low,8,82,M,5.27,4.02,1,,
D,Low,8,71,M,5.02,3.96,1,,
D,Low,8,71,F,4.64,3.66,1,,
D,Low,8,68,F,5.22,4.05,1,,
D,Low,9,78,M,5.18,3.95,1,,
D,Low,9,73,F,5.03,3.96,1,,
D,Low,10,54,M,5.31,4.01,1,,
D,Low,10,68,F,5.2,4.13,1,,
D,Low,10,54,F,5.19,4.1,1,,
D,Low,11,66,M,5.31,4.15,1,,
D,Low,11,75,M,5.02,3.99,1,,
D,Low,11,31,F,5.25,4.17,1,,
D,Low,11,5,F,4.49,3.55,1,,
D,Low,11,71,F,4.78,3.84,1,,
D,Low,11,71,F,5.16,4.07,1,,
D,Low,11,85,F,4.94,3.98,1,,
D,Low,12,64,M,5.48,4.19,1,,
D,Low,12,57,M,5.55,4.31,1,,
D,Low,12,57,M,5.68,4.38,1,,
D,Low,12,52,F,5.31,4.29,1,,
D,Low,12,57,F,5.33,4.2,1,,
D,Low,13,59,M,4.47,3.45,1,,
D,Low,13,64,M,4.97,3.88,1,,
D,Low,13,59,M,5.22,4.06,1,,
D,Low,13,57,M,4.89,3.79,1,,
